Timestamp,Date and Time,MAX,MIN,GUESS
1521417600,2018-03-19T00:00:00,134.732,20.3502,37.9582
1521504000,2018-03-20T00:00:00,131.672,19.8881,37.0963
1521590400,2018-03-21T00:00:00,133.674,20.1905,37.6603
1521676800,2018-03-22T00:00:00,134.487,20.3132,37.8892
1521763200,2018-03-23T00:00:00,132.471,20.0088,37.3214
1521849600,2018-03-24T00:00:00,134.374,20.2962,37.8574
1521936000,2018-03-25T00:00:00,132.26,19.9769,37.2618
1522022400,2018-03-26T00:00:00,131.599,19.8771,37.0757
1522108800,2018-03-27T00:00:00,134.902,20.376,38.0063
1522195200,2018-03-28T00:00:00,132.656,20.0367,37.3735
1522281600,2018-03-29T00:00:00,133.845,20.2163,37.7085
1522368000,2018-03-30T00:00:00,137.677,20.7951,38.788
1522454400,2018-03-31T00:00:00,126.116,20.2363,37.2576
1522540800,2018-04-01T00:00:00,119.893,20.8204,37.7208
1522627200,2018-04-02T00:00:00,111.259,20.9838,37.2746
1522713600,2018-04-03T00:00:00,102.862,21.2489,36.9846
1522800000,2018-04-04T00:00:00,95.5646,21.5295,36.8004
1522886400,2018-04-05T00:00:00,86.666,21.653,36.2798
1522972800,2018-04-06T00:00:00,75.1556,21.2126,34.7942
1523059200,2018-04-07T00:00:00,79.0107,22.3007,36.4455
1523145600,2018-04-08T00:00:00,78.939,22.2804,36.2592
1523232000,2018-04-09T00:00:00,78.2937,22.0983,35.9628
1523318400,2018-04-10T00:00:00,78.3654,22.1185,35.9958
1523404800,2018-04-11T00:00:00,79.3691,22.4019,36.4568
1523491200,2018-04-12T00:00:00,79.2257,22.3614,36.3909
1523577600,2018-04-13T00:00:00,81.1616,22.9078,37.2801
1523664000,2018-04-14T00:00:00,78.9969,22.2968,36.2858
1523750400,2018-04-15T00:00:00,80.2329,22.6457,36.8536
1523836800,2018-04-16T00:00:00,80.7479,22.791,37.0901
1523923200,2018-04-17T00:00:00,81.6904,23.057,37.523
1524009600,2018-04-18T00:00:00,82.6912,23.3395,37.9827
1524096000,2018-04-19T00:00:00,85.6051,24.162,39.3212
1524182400,2018-04-20T00:00:00,84.5159,23.8545,38.8209
1524268800,2018-04-21T00:00:00,86.2407,24.3414,39.6132
1524355200,2018-04-22T00:00:00,86.0055,24.275,39.5051
1524441600,2018-04-23T00:00:00,86.9463,24.5405,39.9373
1524528000,2018-04-24T00:00:00,86.7111,24.4741,39.8292
1524614400,2018-04-25T00:00:00,83.8103,23.6554,38.4968
1524700800,2018-04-26T00:00:00,80.9095,22.8366,37.1643
1524787200,2018-04-27T00:00:00,81.8314,23.0968,37.5878
1524873600,2018-04-28T00:00:00,79.8786,22.5457,36.6908
1524960000,2018-04-29T00:00:00,80.3114,22.6678,36.8896
1525046400,2018-04-30T00:00:00,81.0466,22.8753,37.2273
1525132800,2018-05-01T00:00:00,81.5578,23.0196,37.4622
1525219200,2018-05-02T00:00:00,83.4131,22.1611,37.9348
1525305600,2018-05-03T00:00:00,84.7606,21.0507,38.1444
1525392000,2018-05-04T00:00:00,84.4321,19.5955,37.6193
1525478400,2018-05-05T00:00:00,87.1424,18.7711,38.4278
1525564800,2018-05-06T00:00:00,85.4176,16.9317,37.2642
